name,source,gender,wikidata,type
Aeschengraben,wikidata,,Q391993,way
Aeschenvorstadt,wikidata,,Q381839,way
Aescherstrasse,wikidata,,Q68367,way
"Aeussere Baselstrasse",wikidata,,Q78,way
Ahornstrasse,wikidata,,Q42292,way
Airolostrasse,wikidata,,Q69265,way
Airoloweglein,wikidata,,Q69265,way
Akazienweg,wikidata,,Q81666,way
Alemannengasse,wikidata,,Q132990,way
Allschwilerplatz,wikidata,,Q64727,way
Allschwilerstrasse,wikidata,,Q64727,relation+way
Altkircherstrasse,wikidata,,Q208119,way
Amselstrasse,wikidata,,Q25234,way
Angensteinerstrasse,wikidata,,Q537748,way
Antilopenweg,wikidata,,Q25894,way
Anwilerstrasse,wikidata,,Q66803,way
Appenzellerstrasse,wikidata,,Q209270,way
Arbedostrasse,wikidata,,Q626957,way
Archivgässlein,wikidata,,Q2324698,way
Arlesheimerstrasse,wikidata,,Q581647,way
Asconastrasse,wikidata,,Q63992,way
Augsterweg,wikidata,,Q66515,way
Augustinergasse,wikidata,,Q29075,way
"Bachgraben Promenade",wikidata,,Q90128597,way
Badweglein,wikidata,,Q124217518,way
Baldeggerstrasse,wikidata,,Q115685847,way
Bärschwilerstrasse,wikidata,,Q66716,way
Bartenheimerstrasse,wikidata,,Q320293,way
Baslerstrasse,wikidata,,Q78,way
Bättwilerstrasse,wikidata,,Q70027,way
Bauhinweglein,wikidata,,Q746706,way
Bechburgerstrasse,wikidata,,Q1552127,way
Bedrettostrasse,wikidata,,Q67035,way
"Beim Letziturm",wikidata,,Q1821268,way
"Beim Wasserturm",wikidata,,Q1302826,way
"Beim Wettsteinhäuschen",wikidata,,Q20617580,way
Beinwilerstrasse,wikidata,,Q65391,way
Belforterstrasse,wikidata,,Q171545,way
Bellinzonastrasse,wikidata,,Q64044,way
Bellinzonaweglein,wikidata,,Q64044,way
Benkenstrasse,wikidata,,Q15787681,way
Bergalingerstrasse,wikidata,,Q21269430,way
Bernerring,wikidata,,Q70,way
Beuggenstrasse,wikidata,,Q315097,way
